seed,parameter_set,instance,makespan,runtime,model,jobs,machines,upper_bound,gap,category
0,results/save_15_10.pt,la04,707.0,0.1833648681640625,fjsp_drl,10,5,590,0.19830508474576272,small
0,results/save_15_10.pt,la05,593.0,0.1845929622650146,fjsp_drl,10,5,593,0.0,small
0,model/save_10_5.pt,la01,706.0,0.1848750114440918,fjsp_drl,10,5,666,0.06006006006006006,small
0,model/save_10_5.pt,la02,835.0,0.1867601871490478,fjsp_drl,10,5,655,0.2748091603053435,small
0,model/save_10_5.pt,la03,696.0,0.1901769638061523,fjsp_drl,10,5,597,0.1658291457286432,small
0,model/save_10_5.pt,la04,724.0,0.1870100498199463,fjsp_drl,10,5,590,0.2271186440677966,small
0,model/save_10_5.pt,la05,593.0,0.1828000545501709,fjsp_drl,10,5,593,0.0,small
0,DQN_ep1670,la05,593.0,0.1931823736854962,ieee_icce_rl_jsp,10,5,593,0.0,small
0,DQN_ep1670,la04,684.0,0.1919200420379638,ieee_icce_rl_jsp,10,5,590,0.15932203389830507,small
0,DQN_ep1670,la01,677.0,0.246690034866333,ieee_icce_rl_jsp,10,5,666,0.016516516516516516,small
0,DQN_ep1670,la03,781.0,0.2176740169525146,ieee_icce_rl_jsp,10,5,597,0.3082077051926298,small
0,DQN_ep1670,la02,803.0,0.2092669010162353,ieee_icce_rl_jsp,10,5,655,0.22595419847328244,small
0,DQN_ep1530,la05,593.0,0.1956720352172851,ieee_icce_rl_jsp,10,5,593,0.0,small
0,DQN_ep1530,la04,693.0,0.1998548507690429,ieee_icce_rl_jsp,10,5,590,0.17457627118644067,small
0,DQN_ep1530,la01,705.0,0.194455862045288,ieee_icce_rl_jsp,10,5,666,0.05855855855855856,small
0,DQN_ep1530,la03,714.0,0.1699090003967285,ieee_icce_rl_jsp,10,5,597,0.19597989949748743,small
0,DQN_ep1530,la02,835.0,0.1825191974639892,ieee_icce_rl_jsp,10,5,655,0.2748091603053435,small
0,DQN_ep3480,la05,593.0,0.190342903137207,ieee_icce_rl_jsp,10,5,593,0.0,small
0,DQN_ep3480,la04,689.0,0.2001101970672607,ieee_icce_rl_jsp,10,5,590,0.16779661016949152,small
0,DQN_ep3480,la01,760.0,0.1929278373718261,ieee_icce_rl_jsp,10,5,666,0.14114114114114115,small
2,DQN_ep3480,la01,705.0,0.1927919387817382,ieee_icce_rl_jsp,10,5,666,0.05855855855855856,small
0,DQN_ep3480,la03,696.0,0.1687710285186767,ieee_icce_rl_jsp,10,5,597,0.1658291457286432,small
0,DQN_ep3480,la02,803.0,0.2052149772644043,ieee_icce_rl_jsp,10,5,655,0.22595419847328244,small
0,DQN_ep2590,la05,593.0,0.1922309398651123,ieee_icce_rl_jsp,10,5,593,0.0,small
0,DQN_ep2590,la04,700.0,0.1883409023284912,ieee_icce_rl_jsp,10,5,590,0.1864406779661017,small
0,DQN_ep2590,la01,705.0,0.1931800842285156,ieee_icce_rl_jsp,10,5,666,0.05855855855855856,small
0,DQN_ep2590,la03,687.0,0.1885969638824463,ieee_icce_rl_jsp,10,5,597,0.1507537688442211,small
0,DQN_ep2590,la02,808.0,0.2004616260528564,ieee_icce_rl_jsp,10,5,655,0.233587786259542,small
0,DQN_ep1400,la05,593.0,0.1968209743499755,ieee_icce_rl_jsp,10,5,593,0.0,small
0,DQN_ep1400,la04,761.0,0.1759049892425537,ieee_icce_rl_jsp,10,5,590,0.28983050847457625,small
0,DQN_ep1400,la01,705.0,0.1928651332855224,ieee_icce_rl_jsp,10,5,666,0.05855855855855856,small
0,DQN_ep1400,la03,781.0,0.1754102706909179,ieee_icce_rl_jsp,10,5,597,0.3082077051926298,small
0,DQN_ep1400,la02,835.0,0.1846468448638916,ieee_icce_rl_jsp,10,5,655,0.2748091603053435,small
0,SavedNetwork/15_15_1_99.pth,la05,593.0,0.08556723009589257,l2d,10,5,593,0.0,small
0,SavedNetwork/15_15_1_99.pth,la04,711.0,0.0920808315277099,l2d,10,5,590,0.20508474576271185,small
0,SavedNetwork/15_15_1_99.pth,la01,719.0,0.0857322216033935,l2d,10,5,666,0.07957957957957958,small
0,SavedNetwork/15_15_1_99.pth,la03,681.0,0.0855889320373535,l2d,10,5,597,0.1407035175879397,small
0,SavedNetwork/15_15_1_99.pth,la02,813.0,0.0857937335968017,l2d,10,5,655,0.24122137404580152,small
0,SavedNetwork/30_15_1_199.pth,la05,593.0,0.0855050086975097,l2d,10,5,593,0.0,small
0,SavedNetwork/30_15_1_199.pth,la04,703.0,0.0784099102020263,l2d,10,5,590,0.19152542372881357,small
0,SavedNetwork/30_15_1_199.pth,la01,797.0,0.0847499370574951,l2d,10,5,666,0.1966966966966967,small
0,SavedNetwork/30_15_1_199.pth,la03,717.0,0.0781309604644775,l2d,10,5,597,0.20100502512562815,small
0,SavedNetwork/30_15_1_199.pth,la02,875.0,0.0796942710876464,l2d,10,5,655,0.33587786259541985,small
0,SavedNetwork/30_20_1_199.pth,la05,593.0,0.0829167366027832,l2d,10,5,593,0.0,small
0,SavedNetwork/30_20_1_199.pth,la04,859.0,0.0806748867034912,l2d,10,5,590,0.4559322033898305,small
0,SavedNetwork/30_20_1_199.pth,la01,890.0,0.0821480751037597,l2d,10,5,666,0.33633633633633636,small
0,SavedNetwork/30_20_1_199.pth,la03,789.0,0.0809299945831298,l2d,10,5,597,0.32160804020100503,small
0,SavedNetwork/30_20_1_199.pth,la02,869.0,0.0811691284179687,l2d,10,5,655,0.3267175572519084,small
0,SavedNetwork/6_6_1_99.pth,la05,593.0,0.0808691978454589,l2d,10,5,593,0.0,small
0,SavedNetwork/6_6_1_99.pth,la04,737.0,0.0809090137481689,l2d,10,5,590,0.24915254237288137,small
0,SavedNetwork/6_6_1_99.pth,la01,678.0,0.0821092128753662,l2d,10,5,666,0.018018018018018018,small
0,SavedNetwork/6_6_1_99.pth,la03,709.0,0.079780101776123,l2d,10,5,597,0.18760469011725292,small
0,SavedNetwork/6_6_1_99.pth,la02,833.0,0.0805842876434326,l2d,10,5,655,0.2717557251908397,small
0,SavedNetwork/20_20_1_199.pth,la05,593.0,0.0823640823364257,l2d,10,5,593,0.0,small
0,SavedNetwork/20_20_1_199.pth,la04,704.0,0.0809109210968017,l2d,10,5,590,0.19322033898305085,small
0,SavedNetwork/20_20_1_199.pth,la01,710.0,0.0840241909027099,l2d,10,5,666,0.06606606606606606,small
0,SavedNetwork/20_20_1_199.pth,la03,736.0,0.0808451175689697,l2d,10,5,597,0.23283082077051925,small
0,SavedNetwork/20_20_1_199.pth,la02,883.0,0.0847017765045166,l2d,10,5,655,0.3480916030534351,small
