run,model,instance,makespan,runtime,parameter_set,seed,jobs,machines,best_makespan,gap,category
5.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
6.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
7.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
8.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
9.0,MWKR_SPT,HurinkSdata60.fjs,1251.0,0.039066481590271,MWKR_SPT,,10,10,1005.0,0.24477611940298508,small
0.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
1.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
2.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
3.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
4.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
5.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
6.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
7.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
8.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
9.0,MWKR_SPT,HurinkSdata61.fjs,1174.0,0.0394869565963745,MWKR_SPT,,10,10,887.0,0.32356257046223225,small
0.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
1.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
2.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
3.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
4.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
5.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
6.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
7.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
8.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
9.0,MWKR_SPT,HurinkSdata62.fjs,1443.0,0.0395677089691162,MWKR_SPT,,10,10,1010.0,0.4287128712871287,small
0.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
1.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
2.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
3.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
4.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
5.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
6.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
7.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
8.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
9.0,MWKR_SPT,HurinkSdata64.fjs,1286.0,0.0400528907775878,MWKR_SPT,,10,10,899.0,0.43047830923248054,small
